"repeat_id","scenario","model","metric","value","n_evaluated","evaluation_set","metric_status","metric_warning","unit"
3,"training_prevalence","logistic","calibration_slope",-9.07715308070002,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"primary","linear","r2",0.35868113852383,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"primary","linear","rmse",4.28295714939345,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"primary","linear","mae",3.39335155292513,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"primary","linear","mean_error",-0.00564719711646766,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"primary","linear","calibration_intercept",-0.271037681520893,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"primary","linear","calibration_slope",0.942922326172937,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"influence_excluded_train_only","linear","r2",0.340171130152736,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"influence_excluded_train_only","linear","rmse",4.34432572214432,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"influence_excluded_train_only","linear","mae",3.37346021473751,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"influence_excluded_train_only","linear","mean_error",-0.174456387556261,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"influence_excluded_train_only","linear","calibration_intercept",-0.548793478042578,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"influence_excluded_train_only","linear","calibration_slope",0.916458057154227,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"hypercorrection_excluded_train_only","linear","r2",0.357801485433264,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"hypercorrection_excluded_train_only","linear","rmse",4.28589346211847,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"hypercorrection_excluded_train_only","linear","mae",3.39659318234736,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"hypercorrection_excluded_train_only","linear","mean_error",0.00913631017645364,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"hypercorrection_excluded_train_only","linear","calibration_intercept",-0.317173175577351,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"hypercorrection_excluded_train_only","linear","calibration_slope",0.930042872344414,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"cobb_baseline_augmented","linear","r2",0.378149337998623,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"cobb_baseline_augmented","linear","rmse",4.21744835765629,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"cobb_baseline_augmented","linear","mae",3.39141916572903,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"cobb_baseline_augmented","linear","mean_error",-0.00317259857967794,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"cobb_baseline_augmented","linear","calibration_intercept",-0.262842660342092,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"cobb_baseline_augmented","linear","calibration_slope",0.944182327442849,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"training_mean_delta","linear","r2",-0.000980310403386309,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"training_mean_delta","linear","rmse",5.35080951058265,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"training_mean_delta","linear","mae",4.25134261600994,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"training_mean_delta","linear","mean_error",-0.000447243931605931,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"training_mean_delta","linear","calibration_intercept",-46.9327299369962,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
4,"training_mean_delta","linear","calibration_slope",-9.08247540750575,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"primary","logistic","auc",0.845637583892617,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"primary","logistic","brier_score",0.160369050981365,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
4,"primary","logistic","log_loss",0.488087873991897,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
4,"primary","logistic","calibration_in_the_large",0.0148959901972563,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
4,"primary","logistic","calibration_slope",0.871131083239615,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"influence_excluded_train_only","logistic","auc",0.836364406241399,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"influence_excluded_train_only","logistic","brier_score",0.179376084670144,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
4,"influence_excluded_train_only","logistic","log_loss",0.755810500250976,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
4,"influence_excluded_train_only","logistic","calibration_in_the_large",0.185497649246963,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
4,"influence_excluded_train_only","logistic","calibration_slope",0.308569220617981,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"hypercorrection_excluded_train_only","logistic","auc",0.845637583892617,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"hypercorrection_excluded_train_only","logistic","brier_score",0.160369061728295,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
4,"hypercorrection_excluded_train_only","logistic","log_loss",0.488087746444517,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
4,"hypercorrection_excluded_train_only","logistic","calibration_in_the_large",0.0148975473652156,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
4,"hypercorrection_excluded_train_only","logistic","calibration_slope",0.871138525368956,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"training_prevalence","logistic","auc",0.498412127114517,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
4,"training_prevalence","logistic","brier_score",0.249762740707275,615,"same_complete_test_folds_615_per_repeat","available",,"squared_probability_error"
4,"training_prevalence","logistic","log_loss",0.692672588741323,615,"same_complete_test_folds_615_per_repeat","available",,"logarithmic_score"
4,"training_prevalence","logistic","calibration_in_the_large",0.00000196191825231551,615,"same_complete_test_folds_615_per_repeat","available",,"log_odds"
4,"training_prevalence","logistic","calibration_slope",-9.07715308061623,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
5,"primary","linear","r2",0.355355346708247,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
5,"primary","linear","rmse",4.29404820352363,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
5,"primary","linear","mae",3.40731132835748,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
5,"primary","linear","mean_error",-0.000820259779824137,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
5,"primary","linear","calibration_intercept",-0.275025872214258,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
5,"primary","linear","calibration_slope",0.941087610696046,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
5,"influence_excluded_train_only","linear","r2",0.331160680376346,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
5,"influence_excluded_train_only","linear","rmse",4.3738876275733,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
5,"influence_excluded_train_only","linear","mae",3.39533366560164,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
5,"influence_excluded_train_only","linear","mean_error",-0.211290848718045,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
5,"influence_excluded_train_only","linear","calibration_intercept",-0.582955198146274,615,"same_complete_test_folds_615_per_repeat","available",,"degrees_delta"
5,"influence_excluded_train_only","linear","calibration_slope",0.916367039610556,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
5,"hypercorrection_excluded_train_only","linear","r2",0.35442424081959,615,"same_complete_test_folds_615_per_repeat","available",,"proportion_or_slope"
