"family","repeat_id","outer_fold","metric","flexible","frozen","difference_flexible_minus_frozen","absolute_difference"
"logistic",2,2,"calibration_intercept",-0.00494543068905178,-0.158322070550578,0.153376639861526,0.153376639861526
"logistic",2,2,"calibration_slope",1.64453968996777,1.15502924938007,0.489510440587695,0.489510440587695
"continuous",3,2,"r2",0.524028404090558,0.545121140505157,-0.0210927364145991,0.0210927364145991
"continuous",3,2,"rmse",3.86072424331668,3.77421069718158,0.0865135461350968,0.0865135461350968
"continuous",3,2,"mae",3.08761817401962,2.98102699563725,0.106591178382375,0.106591178382375
"continuous",3,2,"auc",,,,
"continuous",3,2,"brier_score",,,,
"continuous",3,2,"log_loss",,,,
"continuous",3,2,"calibration_intercept",2.01613617188712,1.42554127302255,0.590594898864567,0.590594898864567
"continuous",3,2,"calibration_slope",1.41202985733901,1.28015109274426,0.131878764594758,0.131878764594758
"logistic",3,2,"r2",,,,
"logistic",3,2,"rmse",,,,
"logistic",3,2,"mae",,,,
"logistic",3,2,"auc",0.8953125,0.888020833333333,0.00729166666666659,0.00729166666666659
"logistic",3,2,"brier_score",0.137349330451062,0.13920404992593,-0.00185471947486782,0.00185471947486782
"logistic",3,2,"log_loss",0.423533156454389,0.429848989831822,-0.0063158333774338,0.0063158333774338
"logistic",3,2,"calibration_intercept",0.0482157177435517,-0.166142056899249,0.214357774642801,0.214357774642801
"logistic",3,2,"calibration_slope",1.49207739995331,1.19683085281307,0.295246547140233,0.295246547140233
"continuous",4,2,"r2",0.314524788255201,0.247717205498841,0.0668075827563609,0.0668075827563609
"continuous",4,2,"rmse",4.81064215878358,5.03961941474428,-0.228977255960699,0.228977255960699
"continuous",4,2,"mae",3.96713676149696,4.23421527039201,-0.267078508895047,0.267078508895047
"continuous",4,2,"auc",,,,
"continuous",4,2,"brier_score",,,,
"continuous",4,2,"log_loss",,,,
"continuous",4,2,"calibration_intercept",-0.270338021861555,-1.05028474476961,0.779946722908051,0.779946722908051
"continuous",4,2,"calibration_slope",1.29047431551076,1.12724517541058,0.163229140100177,0.163229140100177
"logistic",4,2,"r2",,,,
"logistic",4,2,"rmse",,,,
"logistic",4,2,"mae",,,,
"logistic",4,2,"auc",0.905208333333333,0.883333333333333,0.021875,0.021875
"logistic",4,2,"brier_score",0.127780761957057,0.143909142797642,-0.0161283808405855,0.0161283808405855
"logistic",4,2,"log_loss",0.408169718375194,0.438727056776505,-0.0305573384013106,0.0305573384013106
"logistic",4,2,"calibration_intercept",0.403252782154499,0.479125432891318,-0.0758726507368186,0.0758726507368186
"logistic",4,2,"calibration_slope",1.49047037470279,1.24164469413976,0.24882568056303,0.24882568056303
"continuous",5,2,"r2",0.297339162345719,0.253141042534117,0.0441981198116028,0.0441981198116028
"continuous",5,2,"rmse",4.54518067111462,4.68594917285869,-0.140768501744074,0.140768501744074
"continuous",5,2,"mae",3.5308687045545,3.68610677200268,-0.155238067448181,0.155238067448181
"continuous",5,2,"auc",,,,
"continuous",5,2,"brier_score",,,,
"continuous",5,2,"log_loss",,,,
"continuous",5,2,"calibration_intercept",0.01647980171384,-0.991120757670178,1.00760055938402,1.00760055938402
"continuous",5,2,"calibration_slope",0.969492653374776,0.77294030247503,0.196552350899746,0.196552350899746
