"family","scope","repeat_id","outer_fold","config_id","alpha","lambda_fraction","mean_metric","sd_metric","se_metric","n_valid","n_converged","failure_reasons","n_failed","one_se_threshold","eligible_one_se","selected_one_se"
"continuous","outer",1,4,4,0.75,1,5.26040526404202,0.274465555825918,0.122744728061803,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,5,1,1,5.26040526404202,0.274465555825918,0.122744728061803,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,6,0,0.1,4.59939087460473,0.280490319215762,0.125439084159412,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,7,0.25,0.1,5.03927263102565,0.274684196989054,0.122842507362494,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,8,0.5,0.1,5.26040526404202,0.274465555825918,0.122744728061803,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,9,0.75,0.1,5.26040526404202,0.274465555825918,0.122744728061803,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,10,1,0.1,5.26040526404202,0.274465555825918,0.122744728061803,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,11,0,0.01,4.05282363031731,0.229755177521633,0.102749639024181,5,5,"none",0,4.09057158814468,TRUE,TRUE
"continuous","outer",1,4,12,0.25,0.01,4.10282528638831,0.232563370150757,0.104005500946708,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,13,0.5,0.01,4.17786938225988,0.24714857487097,0.110528202790737,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,14,0.75,0.01,4.26695687195394,0.268164676899939,0.119926889342506,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,15,1,0.01,4.35941218456815,0.273072908580333,0.122121917279842,5,5,"none",0,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,16,0,0.001,4.00198272910659,0.218893515843322,0.0978921562519188,5,5,"none",0,4.09057158814468,TRUE,FALSE
"continuous","outer",1,4,17,0.25,0.001,4.00011435484102,0.222573896486457,0.0995380725121441,5,5,"none",0,4.09057158814468,TRUE,FALSE
"continuous","outer",1,4,18,0.5,0.001,3.99662065850525,0.223208468445819,0.0998218617196938,5,5,"none",0,4.09057158814468,TRUE,FALSE
"continuous","outer",1,4,19,0.75,0.001,,,,3,3,"kkt_not_met",2,4.09057158814468,FALSE,FALSE
"continuous","outer",1,4,20,1,0.001,3.99278215891638,0.218663811235391,0.0977894292283033,5,5,"none",0,4.09057158814468,TRUE,FALSE
"logistic","outer",1,4,1,0,1,0.647624655350061,0.00331624598224537,0.00148307028928224,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,2,0.25,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,3,0.5,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,4,0.75,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,5,1,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,6,0,0.1,0.537420991061839,0.0129893950892422,0.00580903408122949,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,7,0.25,0.1,0.622795168849328,0.00677390705466338,0.00302938332949854,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,8,0.5,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,9,0.75,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,10,1,0.1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,"none",0,0.489010670515903,FALSE,FALSE
"logistic","outer",1,4,11,0,0.01,0.477656205479655,0.0253893556691931,0.0113544650362471,5,5,"none",0,0.489010670515903,TRUE,TRUE
"logistic","outer",1,4,12,0.25,0.01,0.489855129555464,0.023231210420591,0.0103893131400086,5,5,"none",0,0.489010670515903,FALSE,FALSE
