"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"termo","sexo","logistic","sexo","term",FALSE,50,1,0.777720372788501,0.779319553299843,50
"variavel_clinica","idade","continuous","idade","clinical_variable",TRUE,50,1,0.436524060469908,0.375385605186821,50
"variavel_clinica","imc","continuous","imc","clinical_variable",TRUE,50,1,0.425819017722497,0.466690845835344,50
"variavel_clinica","cifose_toracica","continuous","cifose_toracica","clinical_variable",TRUE,50,1,0.825383712171985,0.657964413090151,50
"variavel_clinica","lordose_lombar","continuous","lordose_lombar","clinical_variable",TRUE,50,1,0.777633965552153,0.156245288597603,50
"variavel_clinica","correcao_colete","continuous","correcao_colete","clinical_variable",TRUE,50,1,1.05855947964333,0.809738698883004,50
"variavel_clinica","cobb_inicial_maior","continuous","cobb_inicial_maior","clinical_variable",TRUE,50,1,0.991359567369966,0.861414739695566,50
"variavel_clinica","sexo","continuous","sexo","clinical_variable",FALSE,50,1,0.617779072635422,0.606039563348443,50
"variavel_clinica","lenke","continuous","lenke","clinical_variable",TRUE,50,1,0.894914383950201,0.992739866052072,50
"variavel_clinica","risser","continuous","risser","clinical_variable",TRUE,50,1,0.335981283293627,0.181995466701953,50
"variavel_clinica","flexibilidade","continuous","flexibilidade","clinical_variable",TRUE,50,1,0.655812300362132,0.657619673513429,50
"variavel_clinica","escoliometro_maior_10_graus","continuous","escoliometro_maior_10_graus","clinical_variable",FALSE,50,1,0.848552189903606,0.32573643183209,50
"variavel_clinica","idade","logistic","idade","clinical_variable",TRUE,50,1,0.18380868180325,0.136077092661376,50
"variavel_clinica","imc","logistic","imc","clinical_variable",TRUE,50,1,0.334678027062958,0.224722308484386,50
"variavel_clinica","cifose_toracica","logistic","cifose_toracica","clinical_variable",TRUE,50,1,0.567343623463032,0.557849001621841,50
"variavel_clinica","lordose_lombar","logistic","lordose_lombar","clinical_variable",TRUE,50,1,0.663172519317493,0.24322603200473,50
"variavel_clinica","correcao_colete","logistic","correcao_colete","clinical_variable",TRUE,50,1,0.631889169056628,0.488301080894949,50
"variavel_clinica","cobb_inicial_maior","logistic","cobb_inicial_maior","clinical_variable",TRUE,50,1,0.335129187089067,0.200040858319826,50
"variavel_clinica","sexo","logistic","sexo","clinical_variable",FALSE,50,1,0.777720372788501,0.779319553299843,50
"variavel_clinica","lenke","logistic","lenke","clinical_variable",TRUE,50,1,0.413314076299806,0.436234903638569,50
"variavel_clinica","risser","logistic","risser","clinical_variable",TRUE,50,1,0.247988053433851,0.16546905135871,50
"variavel_clinica","flexibilidade","logistic","flexibilidade","clinical_variable",TRUE,50,1,0.458525398671854,0.474741400581419,50
"variavel_clinica","escoliometro_maior_10_graus","logistic","escoliometro_maior_10_graus","clinical_variable",FALSE,50,1,0.357837956275821,0.0877474047879078,50
