"family","feature","variable","component","additional","n_models","selection_frequency","mean_coefficient","mean_abs_coefficient","median_coefficient","q025","q975","sign_consistency"
"logistic","escoliometro_maior_10_graus__dummy_toracica","escoliometro_maior_10_graus","dummy",FALSE,50,1,0.0208719959662265,0.043899263848835,0.0242529441463543,-0.0831721161389624,0.106459310626179,0.72
"continuous","escoliometro_maior_10_graus__dummy_toracica_lombar","escoliometro_maior_10_graus","dummy",FALSE,50,1,2.1790137327282,2.1790137327282,2.16021884220421,1.80871613373367,2.53123121263283,1
"logistic","escoliometro_maior_10_graus__dummy_toracica_lombar","escoliometro_maior_10_graus","dummy",FALSE,50,1,-0.948993938355805,0.948993938355805,-0.937126407041546,-1.16262019141422,-0.767379884315567,1
"continuous","flexibilidade__dummy_rigido","flexibilidade","dummy",FALSE,50,1,0.7709114542144,0.7709114542144,0.769301799284912,0.626923898652704,0.902629064411921,1
"logistic","flexibilidade__dummy_rigido","flexibilidade","dummy",FALSE,50,1,-0.376787694243773,0.376787694243773,-0.380400778209538,-0.492050616713835,-0.271914672226412,1
"continuous","idade__linear","idade","linear",FALSE,50,1,-0.0505551242425789,0.0547494170541797,-0.0513505962092533,-0.115101298554215,-0.00879997416083253,0.98
"logistic","idade__linear","idade","linear",FALSE,50,1,0.0331190067209943,0.0336270934531024,0.0320320142233276,0.0119270957178569,0.0719482015319098,0.98
"continuous","idade__spline_1","idade","spline",TRUE,50,1,-0.861209986167873,0.861209986167873,-0.845115200202983,-1.06944197617333,-0.677062428498261,1
"logistic","idade__spline_1","idade","spline",TRUE,50,1,0.341289633181709,0.341289633181709,0.354509912032533,0.1363571906961,0.514900546653961,1
"continuous","idade__spline_2","idade","spline",TRUE,50,1,-0.91950779729139,0.91950779729139,-0.916705711386561,-1.4166121907349,-0.498488296679065,1
"logistic","idade__spline_2","idade","spline",TRUE,50,1,0.448829841397185,0.448829841397185,0.463926267263538,0.184101524339693,0.695563982713444,1
"continuous","idade__spline_3","idade","spline",TRUE,50,1,0.765322293592963,0.765322293592963,0.79320046273477,0.401865500608896,0.952223555526886,1
"logistic","idade__spline_3","idade","spline",TRUE,50,1,-0.275330735233718,0.275330735233718,-0.284031079204919,-0.439901277243433,-0.0846323896644264,1
"continuous","idade_x_risser__1","idade_x_risser","interaction",TRUE,50,1,0.585314900926755,0.585314900926755,0.572399015866695,0.383092452092631,0.774219805402939,1
"logistic","idade_x_risser__1","idade_x_risser","interaction",TRUE,50,1,0.0140399235731897,0.056757082514055,0.0127757775366993,-0.0925349238254549,0.147332933918542,0.54
