"family","scope","repeat_id","outer_fold","n","r2","rmse","mae","calibration_intercept","calibration_slope","auc","brier_score","log_loss"
"logistic","outer_fold",1,10,60,,,,0.321560437804604,1.33164310448678,0.89098998887653,0.133054676245927,0.421229159984561
"continuous","outer_fold",2,10,60,0.402917867479647,3.90478188054683,3.1442636782373,0.638976186231182,1.12684370963329,,,
"logistic","outer_fold",2,10,60,,,,-0.0173594783346385,0.961059685691019,0.835372636262514,0.161431115547703,0.499021413678771
"continuous","outer_fold",3,10,60,0.435225242973295,4.16735213037861,3.37831972551248,0.72907776819114,1.27090001199343,,,
"logistic","outer_fold",3,10,60,,,,0.294190616682602,0.820813250354983,0.82091212458287,0.184208562679465,0.536778358885355
"continuous","outer_fold",4,10,60,0.257135297270961,4.21703160743525,3.42914628581257,-0.0800638189234131,0.927484102126109,,,
"logistic","outer_fold",4,10,60,,,,-0.378223710940808,0.637589805631948,0.730812013348165,0.218658833977004,0.63180400302594
"continuous","outer_fold",5,10,60,0.400855291840019,4.32926990425972,3.44490159764627,0.924969312988849,1.36858329713082,,,
"logistic","outer_fold",5,10,60,,,,0.490121211112334,0.903212178666042,0.815350389321468,0.180723018968648,0.538859878664552
"continuous","repeat_pooled",1,,615,0.380432038683168,4.20970049792531,3.33768033907647,0.732081791849881,1.15596707475727,,,
"logistic","repeat_pooled",1,,615,,,,-0.00559406547747882,1.13549503556026,0.8523807507463,0.156471646881218,0.476244728656756
"continuous","repeat_pooled",2,,615,0.39153080612296,4.17182440639286,3.31654571932247,0.790855433839934,1.16682192493898,,,
"logistic","repeat_pooled",2,,615,,,,-0.0101430322347285,1.11120013315039,0.85038532382021,0.157070406385139,0.477260985885856
"continuous","repeat_pooled",3,,615,0.381210897135852,4.20705366004712,3.35138467050623,0.551096249674412,1.11463261895711,,,
"logistic","repeat_pooled",3,,615,,,,-0.00567852914703375,1.10394996730958,0.848151715961298,0.15841649222449,0.480147202931005
"continuous","repeat_pooled",4,,615,0.377617532376727,4.21925134956859,3.34958232984972,0.678172095345897,1.14088516241168,,,
"logistic","repeat_pooled",4,,615,,,,-0.00981697241663963,1.10071810030895,0.847648889547562,0.158754121201806,0.481708406571171
"continuous","repeat_pooled",5,,615,0.382421699788979,4.20293561239395,3.33771850804939,0.693605605027524,1.15051682371737,,,
"logistic","repeat_pooled",5,,615,,,,0.00783269169933854,1.10407702008959,0.849797810852582,0.157509648414486,0.480556585270371
"continuous","pooled_external_repeated",,,3075,0.382642594821531,4.20218389343658,3.33858231336086,0.687424537192409,1.1453792490228,,,
"logistic","pooled_external_repeated",,,3075,,,,-0.004677250324033,1.1109284245937,0.849856244574768,0.157644463021428,0.479183581863032
