"model","term","x","component_residual_smooth"
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",14,0.972995453432488
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
"linear","idade",15,1.1024617468153
