"family","repeat_id","outer_fold","config_id","alpha","lambda_fraction","lambda","lambda_max","best_mean_metric","best_se_metric","one_se_threshold","selected_mean_metric","selected_se_metric","converged","objective","kkt_max","failure_reason","n_features"
"continuous",5,1,11,0,0.01,0.561867586108735,56.1867586108735,4.15457218351989,0.137522931320291,4.29209511484018,4.19855846964848,0.126480765949216,TRUE,9.06312946380809,0.00000000724619992308051,,48
"logistic",5,1,11,0,0.01,0.0517093940542793,5.17093940542793,0.477534064625626,0.0246229651238736,0.502157029749499,0.480689760538394,0.0209988136324969,TRUE,0.47067232178191,0.000000000093140212556464,,48
"continuous",5,2,11,0,0.01,0.57271980099117,57.2719800991169,4.09688346433941,0.111086229577249,4.20796969391666,4.16078797460546,0.108512019973708,TRUE,8.8736555016084,0.00000000933949871606554,,48
"logistic",5,2,11,0,0.01,0.0526394634087747,5.26394634087747,0.458889748261495,0.0158376340050136,0.474727382266508,0.467041248250852,0.0150005187003348,TRUE,0.465399293696014,0.0000000000993717677588712,,48
"continuous",5,3,11,0,0.01,0.569866219005694,56.9866219005694,4.12514582930961,0.168880660201402,4.29402648951102,4.16475577715202,0.194686520378244,TRUE,9.06751207106322,0.00000000692715880143413,,48
"logistic",5,3,11,0,0.01,0.0525588868225485,5.25588868225485,0.468012662090931,0.0131897808859492,0.48120244297688,0.473368687446566,0.0112037422097068,TRUE,0.468197118443704,0.0000000000057631382305301,,48
"continuous",5,4,11,0,0.01,0.563544651010346,56.3544651010346,4.22665782660798,0.125834336195318,4.3524921628033,4.25455088356016,0.127650448792314,TRUE,9.30649613146705,0.00000000950951122014043,,48
"logistic",5,4,11,0,0.01,0.0526022261001843,5.26022261001843,0.463706579593445,0.0297669980087419,0.493473577602187,0.470914315686718,0.0260185647598555,TRUE,0.464254345909919,0.00000000000673047381716252,,48
"continuous",5,5,11,0,0.01,0.54518590110422,54.518590110422,4.16823706674154,0.162185321277384,4.33042238801892,4.21407730336477,0.183118721834368,TRUE,9.16314484599941,0.00000000493591266470528,,48
"logistic",5,5,11,0,0.01,0.0519017705804938,5.19017705804938,0.470590472666935,0.0188463054259681,0.489436778092903,0.47755914193554,0.0155871837646143,TRUE,0.468404073222613,0.00000000000448406936581769,,48
"continuous",5,6,11,0,0.01,0.535873194635979,53.5873194635979,4.17633881750649,0.163847984680616,4.3401868021871,4.20356037443047,0.167515387280449,TRUE,9.04964512167605,0.00000000822660196561631,,48
"logistic",5,6,11,0,0.01,0.0504795668806186,5.04795668806186,0.482444386093139,0.020369560250535,0.502813946343674,0.482444386093139,0.020369560250535,TRUE,0.471595536600026,0.000000000111826693738326,,48
"continuous",5,7,11,0,0.01,0.584737527410916,58.4737527410916,4.16462309241836,0.0966796634651949,4.26130275588355,4.17316393182899,0.0907731446818565,TRUE,8.86386192703483,0.00000000833626611143612,,48
"logistic",5,7,11,0,0.01,0.052561821582692,5.2561821582692,0.492642653404164,0.016554220569901,0.509196873974065,0.492642653404164,0.016554220569901,TRUE,0.468754680549014,0.0000000000963263965120253,,48
"continuous",5,8,11,0,0.01,0.567119450829185,56.7119450829185,4.17559109991134,0.051245671606235,4.22683677151757,4.19738357621319,0.0561729277280863,TRUE,9.02307049066792,0.00000000512236203106808,,48
"logistic",5,8,11,0,0.01,0.0512140488470802,5.12140488470802,0.490663806541547,0.0195549597398916,0.510218766281438,0.490663806541547,0.0195549597398916,TRUE,0.468372850540863,0.000000000111699966984236,,48
"continuous",5,9,11,0,0.01,0.570421481790494,57.0421481790493,4.13043628263934,0.171153609039495,4.30158989167884,4.15643148512792,0.166646134739711,TRUE,8.96683305364874,0.00000000633460106765071,,48
"logistic",5,9,11,0,0.01,0.0523647920081365,5.23647920081365,0.48702749497845,0.0211989162324511,0.508226411210901,0.48702749497845,0.0211989162324511,TRUE,0.468786165515048,0.0000000000910740094450802,,48
"continuous",5,10,11,0,0.01,0.548747737003174,54.8747737003174,4.21121662626392,0.0890170905320163,4.30023371679594,4.25399466094753,0.104707852466808,TRUE,8.96803670054247,0.00000000492984203459557,,48
"logistic",5,10,11,0,0.01,0.0532919835407145,5.32919835407144,0.474865378789181,0.014622715738161,0.489488094527342,0.478274026135097,0.00996532793491456,TRUE,0.46291610763568,0.000000000186859021311658,,48
