"scenario","model","term","primary_estimate","sensitivity_estimate","difference","absolute_difference","absolute_relative_change","sign_changed"
"hypercorrection","linear","lenke3",3.74935615317449,3.6828714040307,-0.0664847491437932,0.0664847491437932,0.0177323109429074,FALSE
"hypercorrection","linear","lenke4",4.18611908574738,4.17491794086855,-0.0112011448788341,0.0112011448788341,0.00267578266394068,FALSE
"hypercorrection","linear","lenke5",1.13048428564448,1.114120284209,-0.0163640014354707,0.0163640014354707,0.0144752135374812,FALSE
"hypercorrection","linear","lenke6",2.31443434759802,2.30015610247153,-0.0142782451264893,0.0142782451264893,0.00616921587830204,FALSE
"hypercorrection","linear","risser1",-2.56891366122573,-2.66557721040947,-0.0966635491837415,0.0966635491837415,0.0376281813759438,FALSE
"hypercorrection","linear","risser2",-1.99342886344444,-1.98250018605001,0.0109286773944293,0.0109286773944293,0.00548235133685464,FALSE
"hypercorrection","linear","risser3",-1.26711049716004,-1.28055985522674,-0.0134493580666968,0.0134493580666968,0.0106141951288705,FALSE
"hypercorrection","linear","risser4",-0.913373954489576,-0.932377610629972,-0.019003656140396,0.019003656140396,0.0208059974197708,FALSE
"hypercorrection","linear","flexibilidaderigido",0.827868480037586,0.83609883858787,0.00823035855028464,0.00823035855028464,0.0099416256914516,FALSE
"hypercorrection","linear","escoliometro_maior_10_graustoracica",-0.0525009055703781,-0.0949836524359124,-0.0424827468655342,0.0424827468655342,0.809181220856954,FALSE
"hypercorrection","linear","escoliometro_maior_10_grauslombar",-0.381654502303094,-0.397839346158857,-0.0161848438557624,0.0161848438557624,0.0424070560103312,FALSE
"hypercorrection","linear","escoliometro_maior_10_graustoracica_lombar",2.69904565124078,2.71021152223882,0.0111658709980444,0.0111658709980444,0.00413697004084069,FALSE
"hypercorrection","logistic","(Intercept)",-3.23003250529996,-3.23000032121643,0.0000321840835226794,0.0000321840835226794,0.00000996401227228228,FALSE
"hypercorrection","logistic","idade",-0.0816966921855274,-0.0816960309688915,0.00000066121663586105,0.00000066121663586105,0.00000809355456350025,FALSE
"hypercorrection","logistic","imc",0.0558978852735618,0.0558972458760636,-0.000000639397498225502,0.000000639397498225502,0.0000114386706240553,FALSE
"hypercorrection","logistic","cifose_toracica",0.0207899780986713,0.0207899407822301,-0.0000000373164412148519,0.0000000373164412148519,0.00000179492450822913,FALSE
"hypercorrection","logistic","lordose_lombar",-0.00984075907997545,-0.00984038362706135,0.000000375452914095492,0.000000375452914095492,0.0000381528407559012,FALSE
"hypercorrection","logistic","correcao_colete",0.0956014397061875,0.0956003647000765,-0.00000107500611098987,0.00000107500611098987,0.0000112446644558251,FALSE
"hypercorrection","logistic","sexomasculino",1.09622819163554,1.09620490630518,-0.0000232853303590019,0.0000232853303590019,0.0000212413168505189,FALSE
"hypercorrection","logistic","lenke2",-0.902623677854922,-0.902615411465846,0.00000826638907547306,0.00000826638907547306,0.00000915817884937172,FALSE
"hypercorrection","logistic","lenke3",-1.80828073701834,-1.80828351013588,-0.00000277311753515974,0.00000277311753515974,0.00000153356582215896,FALSE
"hypercorrection","logistic","lenke4",-2.0469481218535,-2.04694194891001,0.00000617294348526087,0.00000617294348526087,0.00000301568145247927,FALSE
"hypercorrection","logistic","lenke5",-0.986303986811524,-0.986302531535754,0.00000145527577022353,0.00000145527577022353,0.00000147548401880446,FALSE
"hypercorrection","logistic","lenke6",-1.59458414211578,-1.59457760144982,0.00000654066596461611,0.00000654066596461611,0.00000410180045810414,FALSE
"hypercorrection","logistic","risser1",1.83345246640352,1.83343188798545,-0.0000205784180689061,0.0000205784180689061,0.0000112238623285787,FALSE
"hypercorrection","logistic","risser2",0.902247707835656,0.902247281438748,-0.000000426396907893256,0.000000426396907893256,0.000000472594060578012,FALSE
"hypercorrection","logistic","risser3",0.187033479963831,0.187032416826018,-0.0000010631378132564,0.0000010631378132564,0.00000568421126240066,FALSE
"hypercorrection","logistic","risser4",0.693525909402579,0.693524148078961,-0.00000176132361839887,0.00000176132361839887,0.00000253966520142862,FALSE
"hypercorrection","logistic","flexibilidaderigido",-0.436800700285599,-0.436796224781841,0.00000447550375803907,0.00000447550375803907,0.0000102461002354456,FALSE
"hypercorrection","logistic","escoliometro_maior_10_graustoracica",-0.00270657026616162,-0.00271171613113151,-0.00000514586496988241,0.00000514586496988241,0.00190124935392131,FALSE
"hypercorrection","logistic","escoliometro_maior_10_grauslombar",0.0183122863215969,0.0183092800737599,-0.00000300624783701464,0.00000300624783701464,0.0001641656199679,FALSE
"hypercorrection","logistic","escoliometro_maior_10_graustoracica_lombar",-1.17273253385019,-1.17272159700363,0.0000109368465606163,0.0000109368465606163,0.00000932595135287129,FALSE
