"order","theoretical_quantile","standardized_residual_quantile"
213,-0.397421164933271,-0.356866651006453
214,-0.393014268218606,-0.353414601958131
215,-0.388614990973445,-0.353414601958131
216,-0.384223222044712,-0.333046137496802
217,-0.379838851426297,-0.333046137496802
218,-0.375461770235518,-0.332054763547807
219,-0.371091870690076,-0.332054763547807
220,-0.366729046085477,-0.327294629365788
221,-0.362373190772923,-0.327294629365788
222,-0.358024200137644,-0.323030383028622
223,-0.35368197057767,-0.323030383028622
224,-0.349346399483022,-0.319784966022487
225,-0.345017385215322,-0.310026544458394
226,-0.340694827087796,-0.306817658409497
227,-0.336378625345669,-0.306817658409497
228,-0.332068681146942,-0.306141410301513
229,-0.327764896543533,-0.305299522322189
230,-0.323467174462778,-0.305299522322189
231,-0.319175418689278,-0.300775742800348
232,-0.314889533847094,-0.297911895041636
233,-0.310609425382256,-0.297911895041636
234,-0.306334999545609,-0.286606147759011
235,-0.302066163375963,-0.286606147759011
236,-0.297802824683543,-0.276880562196105
237,-0.293544892033744,-0.276880562196105
238,-0.289292274731164,-0.266426957258714
239,-0.285044882803924,-0.260358121435753
240,-0.280802626988253,-0.260358121435726
241,-0.276565418713345,-0.252988347473676
242,-0.272333170086464,-0.243871174277862
243,-0.268105793878309,-0.243871174277862
244,-0.263883203508616,-0.237203764038091
245,-0.259665313031998,-0.237203764038091
246,-0.255452037124021,-0.233374613377868
247,-0.251243291067492,-0.233374613377868
248,-0.247038990738977,-0.211048219113453
249,-0.242839052595527,-0.211048219113453
250,-0.238643393661605,-0.206177460727359
251,-0.234451931516222,-0.206177460727359
252,-0.230264584280262,-0.199499137960217
253,-0.226081270603999,-0.193671118406918
254,-0.221901909654794,-0.193671118406918
255,-0.21772642110498,-0.18804740720614
256,-0.21355472511991,-0.182896489620748
257,-0.209386742346182,-0.172357814396747
258,-0.205222393900027,-0.167660264300783
259,-0.201061601355851,-0.153176400632723
260,-0.19690428673494,-0.153176400632723
261,-0.192750372494311,-0.150681311893647
262,-0.188599781515708,-0.149846805319197
263,-0.184452437094743,-0.12780087596065
264,-0.180308262930173,-0.125725365689119
265,-0.176167183113311,-0.116561629090002
266,-0.172029122117565,-0.113179556031184
267,-0.167894004788105,-0.104908013254674
268,-0.163761756331651,-0.096938933288341
269,-0.159632302306374,-0.0916144302818834
270,-0.155505568611921,-0.0916144302818834
271,-0.151381481479543,-0.0902440140111026
272,-0.147259967462329,-0.0823388493951372
273,-0.143140953425549,-0.0776995732057143
274,-0.139024366537097,-0.0762220693453901
275,-0.134910134258022,-0.0662127975064129
276,-0.130798184333163,-0.0662127975064129
277,-0.126688444781868,-0.0631997358721891
278,-0.122580843888802,-0.0631997358721891
279,-0.118475310194837,-0.0604340168321336
280,-0.114371772488023,-0.0337011110965847
281,-0.11027015979464,-0.0337011110965847
282,-0.10617040137032,-0.0322704428487475
283,-0.102072426691242,-0.030356927217722
284,-0.0979761654453967,-0.0219418326593488
285,-0.0938815475239182,-0.0219418326593488
286,-0.089788503012473,-0.0186960067886239
287,-0.0856969621827163,-0.0167858495476431
288,-0.0816068554838014,-0.0123044040054984
289,-0.0775181135339442,-0.0123044040054984
290,-0.0734306671120416,-0.00543254985448965
291,-0.0693444471493369,-0.00543254985448965
292,-0.0652593847211332,-0.00199554419169398
293,-0.0611754110385511,0.0000032237061849726
294,-0.0570924574403262,0.00281975877815517
295,-0.0530104553846478,0.00281975877815517
296,-0.0489293364410322,0.00350225234055146
297,-0.0448490322822303,0.00661254993996175
298,-0.0407694746761674,0.00661254993996175
299,-0.0366905954779107,0.00777673331780583
300,-0.0326123266216634,0.00777673331780583
301,-0.0285346001127842,0.0121942472545595
302,-0.024457348019826,0.0209835517335396
303,-0.0203805024665954,0.0251502267629125
304,-0.0163039956242286,0.0351326284325754
305,-0.0122277597032808,0.039791930882257
306,-0.00815172694582877,0.039791930882257
307,-0.00407582961758181,0.048265113414019
308,0,0.048265113414019
309,0.00407582961758167,0.0488206600097688
310,0.00815172694582891,0.0578528861248631
311,0.0122277597032808,0.0612665527819285
312,0.0163039956242285,0.0661542679309353
313,0.0203805024665955,0.0704988678550729
314,0.024457348019826,0.0787847048226746
315,0.0285346001127842,0.10275448948066
316,0.0326123266216636,0.104671110593844
317,0.0366905954779107,0.107967634785744
318,0.0407694746761674,0.107967634785744
319,0.0448490322822305,0.109855464904415
320,0.0489293364410322,0.110579832706878
321,0.0530104553846478,0.115324462719645
322,0.0570924574403261,0.117554951098672
323,0.0611754110385511,0.117554951098672
324,0.0652593847211332,0.139152414642126
325,0.0693444471493367,0.154907690391918
326,0.0734306671120416,0.162695726450452
327,0.0775181135339442,0.162695726450452
328,0.0816068554838012,0.165707640477938
329,0.0856969621827165,0.165707640477938
330,0.089788503012473,0.169385468671686
331,0.0938815475239181,0.175549156581267
332,0.0979761654453969,0.175549156581267
333,0.102072426691242,0.175692613078391
334,0.10617040137032,0.189419330079828
335,0.11027015979464,0.189419330079828
336,0.114371772488023,0.197560264771331
337,0.118475310194837,0.197560264771331
338,0.122580843888803,0.198128056853141
339,0.126688444781868,0.198128056853141
340,0.130798184333163,0.199558024648554
341,0.134910134258022,0.201832275152434
342,0.139024366537097,0.206153827952363
343,0.143140953425549,0.206153827952363
344,0.147259967462329,0.207308042491936
345,0.151381481479543,0.208882431533353
346,0.155505568611921,0.212012467636528
347,0.159632302306374,0.222927394245275
348,0.163761756331651,0.226788981108599
349,0.167894004788105,0.226788981108599
350,0.172029122117565,0.249297642679336
351,0.176167183113311,0.249297642679336
352,0.180308262930173,0.256728911589957
353,0.184452437094743,0.25789442813693
354,0.188599781515708,0.25789442813693
355,0.192750372494311,0.267398087554021
356,0.19690428673494,0.267398087554021
357,0.201061601355851,0.268747052958731
358,0.205222393900027,0.272605501283112
359,0.209386742346182,0.272605501283112
360,0.21355472511991,0.274763030367902
361,0.21772642110498,0.284243692137229
362,0.221901909654794,0.284243692137229
363,0.226081270603999,0.285370361603139
364,0.230264584280262,0.290157174891295
365,0.234451931516222,0.292081280781641
366,0.238643393661605,0.292081280781641
367,0.242839052595527,0.298552120457863
368,0.247038990738977,0.298552120457863
369,0.251243291067492,0.307135045680102
370,0.255452037124021,0.311274582759311
371,0.259665313031998,0.311274582759311
372,0.263883203508616,0.324903990972154
373,0.268105793878309,0.328795773625349
374,0.272333170086464,0.337704550750496
375,0.276565418713345,0.337704550750496
376,0.280802626988253,0.341045029593717
377,0.285044882803924,0.341045029593717
378,0.289292274731164,0.341060573716811
379,0.293544892033744,0.341060573716811
