"family","scope","repeat_id","outer_fold","config_id","alpha","lambda_fraction","mean_metric","sd_metric","se_metric","n_valid","n_converged","one_se_threshold","eligible_one_se","selected_one_se"
"logistic","outer",5,3,13,0.5,0.01,0.469840458116298,0.0292649279730173,0.0130876736608604,5,5,0.480337956202606,TRUE,FALSE
"logistic","outer",5,3,14,0.75,0.01,0.468283483672012,0.0295379755845938,0.0132097842649762,5,5,0.480337956202606,TRUE,FALSE
"logistic","outer",5,3,15,1,0.01,0.46733027683135,0.0290860553036493,0.0130076793712556,5,5,0.480337956202606,TRUE,FALSE
"logistic","outer",5,3,16,0,0.001,0.486528798895634,0.0261463351611559,0.0116929965565675,5,0,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,17,0.25,0.001,0.485453383303209,0.0262634211673429,0.0117453590103771,5,0,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,18,0.5,0.001,0.484463013764922,0.0264839497719216,0.0118439824005414,5,0,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,19,0.75,0.001,0.483741129228737,0.0267952010464133,0.0119831782021107,5,0,0.480337956202606,FALSE,FALSE
"logistic","outer",5,3,20,1,0.001,0.483230362031205,0.0269810363741921,0.0120662862872176,5,0,0.480337956202606,FALSE,FALSE
"continuous","outer",5,4,1,0,1,5.29300590428457,0.228502930304779,0.102189617043877,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,2,0.25,1,5.41096996782446,0.233359033794018,0.104361332545419,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,3,0.5,1,5.41096996782446,0.233359033794018,0.104361332545419,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,4,0.75,1,5.41096996782446,0.233359033794018,0.104361332545419,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,5,1,1,5.41096996782446,0.233359033794018,0.104361332545419,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,6,0,0.1,4.75361966590204,0.252128020682489,0.112755078655704,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,7,0.25,0.1,5.19905544083858,0.224203799033561,0.100266987090549,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,8,0.5,0.1,5.41096996782446,0.233359033794018,0.104361332545419,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,9,0.75,0.1,5.41096996782446,0.233359033794018,0.104361332545419,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,10,1,0.1,5.41096996782446,0.233359033794018,0.104361332545419,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,11,0,0.01,4.25455088356016,0.28543508085797,0.127650448792314,5,5,4.3524921628033,TRUE,TRUE
"continuous","outer",5,4,12,0.25,0.01,4.30010005176282,0.30340175083319,0.135685387871093,5,5,4.3524921628033,TRUE,FALSE
"continuous","outer",5,4,13,0.5,0.01,4.35424025125559,0.315553746694432,0.1411199256327,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,14,0.75,0.01,4.42795755823915,0.312327075500071,0.139676914406373,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,15,1,0.01,4.50333819157472,0.300359746395302,0.134324962128898,5,5,4.3524921628033,FALSE,FALSE
"continuous","outer",5,4,16,0,0.001,4.23673230661203,0.262474174895166,0.117382019480752,5,5,4.3524921628033,TRUE,FALSE
"continuous","outer",5,4,17,0.25,0.001,4.23346093043414,0.264101965826223,0.118109989715752,5,5,4.3524921628033,TRUE,FALSE
"continuous","outer",5,4,18,0.5,0.001,4.23130910946734,0.266996509388587,0.119404468949608,5,5,4.3524921628033,TRUE,FALSE
"continuous","outer",5,4,19,0.75,0.001,4.22744673469507,0.274052013090994,0.122559786128425,5,3,4.3524921628033,TRUE,FALSE
"continuous","outer",5,4,20,1,0.001,4.22665782660798,0.281374129636293,0.125834336195318,5,5,4.3524921628033,TRUE,FALSE
"logistic","outer",5,4,1,0,1,0.575547868202468,0.0230029635812433,0.0102872380503224,5,5,0.491385931932643,FALSE,FALSE
"logistic","outer",5,4,2,0.25,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.491385931932643,FALSE,FALSE
"logistic","outer",5,4,3,0.5,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.491385931932643,FALSE,FALSE
"logistic","outer",5,4,4,0.75,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.491385931932643,FALSE,FALSE
"logistic","outer",5,4,5,1,1,0.692679840605181,0.000154558200041579,0.0000691205283545962,5,5,0.491385931932643,FALSE,FALSE
