"threshold","false_positive_rate","true_positive_rate"
0.400437239307885,0.275167785234899,0.867507886435331
0.3951161996348,0.281879194630872,0.867507886435331
0.394293537609553,0.281879194630872,0.870662460567823
0.39148329443723,0.288590604026846,0.870662460567823
0.38712011148065,0.291946308724832,0.870662460567823
0.38424792378687,0.298657718120805,0.870662460567823
0.383969431782195,0.305369127516779,0.870662460567823
0.383334418070604,0.312080536912752,0.870662460567823
0.382940196081997,0.312080536912752,0.876971608832808
0.382201742164704,0.315436241610738,0.876971608832808
0.382096164762965,0.315436241610738,0.883280757097792
0.381830942127097,0.315436241610738,0.889589905362776
0.378668704508524,0.322147651006711,0.889589905362776
0.37772001213342,0.328859060402685,0.889589905362776
0.367706271195322,0.335570469798658,0.889589905362776
0.364282695546796,0.342281879194631,0.889589905362776
0.363099192593266,0.345637583892617,0.889589905362776
0.359767124280117,0.348993288590604,0.889589905362776
0.358590379404879,0.355704697986577,0.889589905362776
0.354101567203658,0.36241610738255,0.889589905362776
0.344843924761151,0.369127516778524,0.889589905362776
0.343181454564115,0.37248322147651,0.889589905362776
0.338758829730765,0.379194630872483,0.889589905362776
0.338691684658588,0.385906040268456,0.889589905362776
0.33500142778445,0.385906040268456,0.89589905362776
0.333897598118556,0.39261744966443,0.89589905362776
0.332505887371959,0.39261744966443,0.902208201892745
0.331686502859882,0.39261744966443,0.908517350157729
0.331028372206056,0.39261744966443,0.911671924290221
0.328538341591494,0.399328859060403,0.911671924290221
0.327773687647693,0.406040268456376,0.911671924290221
0.324366741287773,0.412751677852349,0.911671924290221
0.323296624264078,0.416107382550336,0.911671924290221
0.322018390804897,0.419463087248322,0.911671924290221
0.322016947757468,0.426174496644295,0.911671924290221
0.312552346034577,0.432885906040268,0.911671924290221
0.307879518367291,0.432885906040268,0.917981072555205
0.296699773618434,0.439597315436242,0.917981072555205
0.278698676466747,0.446308724832215,0.917981072555205
0.278386243471057,0.449664429530201,0.917981072555205
0.273002324188107,0.453020134228188,0.917981072555205
0.2643402827602,0.453020134228188,0.921135646687697
0.261866844269589,0.459731543624161,0.921135646687697
0.261264867818762,0.459731543624161,0.924290220820189
0.261219006110338,0.466442953020134,0.924290220820189
