"unit_type","unit","family","variable","component","additional","selection_count","selection_frequency","mean_abs_coefficient","median_abs_coefficient","n_models"
"componente","lenke__dummy_3","logistic","lenke","dummy",FALSE,50,1,0.426149487216991,0.393217083684156,50
"componente","lenke__dummy_4","continuous","lenke","dummy",FALSE,50,1,1.41855348933071,1.36033358134934,50
"componente","lenke__dummy_4","logistic","lenke","dummy",FALSE,50,1,0.548527186950869,0.503816544624159,50
"componente","lenke__dummy_5","continuous","lenke","dummy",FALSE,50,1,0.985126744030025,0.969495010222531,50
"componente","lenke__dummy_5","logistic","lenke","dummy",FALSE,50,1,0.369102901204898,0.357522081173671,50
"componente","lenke__dummy_6","continuous","lenke","dummy",FALSE,50,1,0.0994224350710506,0.072181245455165,50
"componente","lenke__dummy_6","logistic","lenke","dummy",FALSE,50,1,0.16427785556585,0.132535370769067,50
"componente","lordose_lombar__linear","continuous","lordose_lombar","linear",FALSE,50,1,0.140106135462729,0.13842748472842,50
"componente","lordose_lombar__linear","logistic","lordose_lombar","linear",FALSE,49,0.98,0.0274470320050999,0.0248499412716284,50
"componente","lordose_lombar__spline_1","continuous","lordose_lombar","spline",TRUE,50,1,0.15159017826893,0.149171036267306,50
"componente","lordose_lombar__spline_1","logistic","lordose_lombar","spline",TRUE,50,1,0.337667410442133,0.330785309433458,50
"componente","lordose_lombar__spline_2","continuous","lordose_lombar","spline",TRUE,50,1,2.70691681272533,2.68826776423013,50
"componente","lordose_lombar__spline_2","logistic","lordose_lombar","spline",TRUE,50,1,1.71336976945176,1.61301517981874,50
"componente","lordose_lombar__spline_3","continuous","lordose_lombar","spline",TRUE,50,1,0.111922735751624,0.0897461354864631,50
"componente","lordose_lombar__spline_3","logistic","lordose_lombar","spline",TRUE,50,1,0.0718708078610892,0.0462297457108147,50
"componente","risser__dummy_1","continuous","risser","dummy",FALSE,50,1,0.921472859164475,0.920236583098552,50
"componente","risser__dummy_1","logistic","risser","dummy",FALSE,50,1,0.782465400635798,0.736525107899008,50
"componente","risser__dummy_2","continuous","risser","dummy",FALSE,50,1,0.608641972728021,0.597263303628928,50
"componente","risser__dummy_2","logistic","risser","dummy",FALSE,50,1,0.249761318097599,0.229868055727428,50
"componente","risser__dummy_3","continuous","risser","dummy",FALSE,50,1,0.193748478660565,0.184594781269383,50
"componente","risser__dummy_3","logistic","risser","dummy",FALSE,49,0.98,0.171616447723956,0.181209289761942,50
"componente","risser__dummy_4","continuous","risser","dummy",FALSE,50,1,0.0725839661431002,0.0442927368653651,50
"componente","risser__dummy_4","logistic","risser","dummy",FALSE,50,1,0.163035804637176,0.125121569309309,50
"componente","sexo__dummy_masculino","continuous","sexo","dummy",FALSE,50,1,0.617779072635422,0.606039563348443,50
"componente","sexo__dummy_masculino","logistic","sexo","dummy",FALSE,50,1,0.631485567732337,0.596220163780172,50
"termo","cifose_toracica","continuous","cifose_toracica","term",TRUE,50,1,0.825383712171985,0.657964413090151,50
"termo","cifose_toracica","logistic","cifose_toracica","term",TRUE,50,1,0.466735571280174,0.43685984070567,50
"termo","cobb_inicial_maior","continuous","cobb_inicial_maior","term",TRUE,50,1,0.991359567369966,0.861414739695565,50
"termo","cobb_inicial_maior","logistic","cobb_inicial_maior","term",TRUE,50,1,0.260031843260797,0.168391470982872,50
"termo","correcao_colete","continuous","correcao_colete","term",TRUE,50,1,1.44235072526102,0.955603238329834,50
"termo","correcao_colete","logistic","correcao_colete","term",TRUE,50,1,0.773439902243968,0.862914809474985,50
"termo","correcao_colete_x_flexibilidade","continuous","correcao_colete_x_flexibilidade","term",TRUE,50,1,0.540713146509865,0.543725133013182,50
"termo","correcao_colete_x_flexibilidade","logistic","correcao_colete_x_flexibilidade","term",TRUE,50,1,0.491592080424573,0.489576093365317,50
"termo","correcao_colete_x_lenke","continuous","correcao_colete_x_lenke","term",TRUE,50,1,0.855095749775865,0.915328060854709,50
"termo","correcao_colete_x_lenke","logistic","correcao_colete_x_lenke","term",TRUE,50,1,0.36479725207641,0.368532396399721,50
